N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,100",700,+1.01%,100,"4,184,818","5,969,783",51.45,"17,531,847",14.76,9.99,
2,SK하이닉스,"98,400","4,600",+4.90%,"5,000","716,354","728,002",46.95,"4,154,067",12.31,9.53,
3,NAVER,"393,500","1,500",-0.38%,100,"646,376","164,263",56.60,"443,188",3.92,15.22,
4,LG화학,"836,000","12,000",-1.42%,"5,000","590,152","70,592",47.24,"205,743",22.52,2.93,
5,삼성바이오로직스,"869,000","10,000",+1.16%,"2,500","574,974","66,165",10.58,"63,027",171.74,N/A,
6,카카오,"122,000",500,+0.41%,100,"543,341","445,361",30.05,"2,291,806",113.70,2.70,
7,삼성전자우,"64,500",400,+0.62%,100,"530,762","822,887",74.63,"1,767,892",13.58,N/A,
8,삼성SDI,"712,000","20,000",+2.89%,"5,000","489,603","68,765",44.48,"244,205",52.75,4.54,
9,현대차,"208,500",500,-0.24%,"5,000","445,498","213,668",28.61,"528,280",15.10,2.04,
10,기아,"83,800",300,-0.36%,"5,000","339,694","405,363",34.59,"859,529",9.78,5.05,
11,셀트리온,"220,000","2,000",-0.90%,"1,000","303,456","137,935",20.75,"416,464",51.58,16.68,
12,POSCO,"328,000",500,+0.15%,"5,000","285,973","87,187",54.76,"279,905",7.42,3.61,
13,카카오뱅크,"60,100","1,100",+1.86%,"5,000","285,535","475,100",5.31,"1,865,393",194.50,5.08,
14,현대모비스,"271,000","2,000",-0.73%,"5,000","256,889","94,793",34.97,"262,363",11.63,4.66,
15,SK이노베이션,"258,500","5,000",-1.90%,"5,000","239,023","92,466",24.75,"347,700",-53.55,-13.58,
16,KB금융,"55,800","1,200",+2.20%,"5,000","232,021","415,808",68.28,"1,383,168",5.50,8.53,
17,크래프톤,"472,500","6,000",-1.25%,100,"231,296","48,951",6.18,"234,432",40.68,61.86,
18,삼성물산,"122,500","3,000",+2.51%,100,"228,937","186,887",15.15,"323,873",13.97,3.81,
19,SK텔레콤,"300,000","2,500",-0.83%,500,"216,180","72,060",44.45,"331,428",11.39,6.44,
20,LG생활건강,"1,372,000","18,000",+1.33%,"5,000","214,282","15,618",45.29,"30,026",28.81,17.92,
21,LG전자,"126,500","3,000",+2.43%,"5,000","207,014","163,648",30.32,"736,454",15.31,13.23,
22,신한지주,"39,000",100,+0.26%,"5,000","201,474","516,600",60.87,"1,027,097",5.05,8.20,
23,SK,"263,000","2,500",-0.94%,200,"185,048","70,360",19.54,"97,037",16.98,1.11,
24,SK바이오사이언스,"237,500","2,000",-0.84%,500,"181,688","76,500",5.88,"321,083",115.68,13.25,
25,LG,"95,600",200,+0.21%,"5,000","150,380","157,301",33.75,"148,522",5.99,7.50,
26,한국전력,"22,950",200,+0.88%,"5,000","147,331","641,964",14.91,"2,125,811",12.36,2.91,
27,삼성생명,"70,600",500,+0.71%,500,"141,200","200,000",12.83,"240,914",8.06,3.53,
28,SK아이이테크놀로지,"193,500","7,000",-3.49%,"1,000","137,961","71,298",9.82,"453,044",127.22,11.00,
29,엔씨소프트,"607,000","25,000",+4.30%,500,"133,261","21,954",45.04,"245,283",32.58,20.83,
30,하나금융지주,"44,200",300,+0.68%,"5,000","132,707","300,242",68.06,"1,011,463",4.36,8.96,
31,포스코케미칼,"162,000","2,000",-1.22%,500,"125,490","77,463",7.81,"368,862",117.05,2.96,
32,삼성에스디에스,"157,500","1,500",+0.96%,500,"121,870","77,378",11.41,"82,036",18.91,6.71,
33,두산중공업,"23,450","1,000",+4.45%,"5,000","121,636","518,704",9.65,"25,713,980",-55.70,-37.20,
34,HMM,"30,000",100,+0.33%,"5,000","121,618","405,392",9.98,"5,361,700",19.00,8.93,
35,S-Oil,"108,000",500,-0.46%,"2,500","121,589","112,583",78.46,"377,819",13.89,-13.07,
36,삼성전기,"162,500","3,500",+2.20%,"5,000","121,377","74,694",32.30,"580,373",14.17,10.92,
37,하이브,"306,500","18,000",+6.24%,500,"119,691","39,051",16.03,"753,833",109.04,12.52,
38,삼성화재,"242,000","2,000",+0.83%,500,"114,647","47,375",48.70,"71,567",11.46,4.96,
39,KT&G,"81,700",500,+0.62%,"5,000","112,168","137,292",36.61,"305,325",10.13,13.22,
40,고려아연,"590,000","16,000",+2.79%,"5,000","111,333","18,870",18.60,"88,573",15.39,8.37,
41,아모레퍼시픽,"186,500","3,500",+1.91%,500,"109,089","58,493",31.77,"224,486",86.54,0.78,
42,대한항공,"31,150",350,+1.14%,"5,000","108,346","347,821",12.21,"2,431,380",16.22,-7.22,
43,넷마블,"121,500","1,000",-0.82%,100,"104,434","85,954",23.00,"130,965",36.50,6.35,
44,현대중공업,"105,000","3,000",+2.94%,"5,000","93,212","88,773",1.39,"286,827",-9.49,-7.86,
45,우리금융지주,"11,950",200,+1.70%,"5,000","87,003","728,061",28.93,"2,345,557",4.18,5.87,
46,한화솔루션,"44,650",350,+0.79%,"5,000","85,406","191,278",19.07,"3,050,913",11.07,5.30,
47,롯데케미칼,"244,000","2,500",+1.04%,"5,000","83,632","34,275",26.12,"86,429",7.00,1.22,
48,한온시스템,"15,550",150,+0.97%,100,"83,006","533,800",18.07,"478,857",28.53,5.09,
49,KT,"31,300",100,+0.32%,"5,000","81,728","261,112",44.27,"395,797",8.94,4.76,
50,기업은행,"10,800",150,+1.41%,"5,000","80,384","744,301",13.13,"1,678,536",4.54,6.44,
51,SK바이오팜,"102,000",500,-0.49%,500,"79,880","78,313",6.35,"102,005",-134.92,-135.18,
52,한국조선해양,"97,300","1,300",+1.35%,"5,000","68,862","70,773",18.96,"245,337",-4.44,-7.42,
53,F&F,"887,000","1,000",-0.11%,500,"67,957","7,661",12.34,"34,029",N/A,N/A,
54,현대글로비스,"178,500",0,0.00%,500,"66,938","37,500",33.86,"97,561",9.93,12.45,
55,LG디스플레이,"18,200",500,+2.82%,"5,000","65,122","357,816",16.53,"5,034,460",5.47,-0.79,
56,LG유플러스,"14,650",150,+1.03%,"5,000","63,964","436,611",34.15,"965,774",11.05,6.46,
57,현대제철,"47,250",0,0.00%,"5,000","63,053","133,446",20.77,"478,963",26.10,-2.59,
58,강원랜드,"29,350",600,+2.09%,500,"62,792","213,940",19.46,"997,090",-66.70,-7.92,
59,CJ제일제당,"400,000","3,000",-0.74%,"5,000","60,217","15,054",24.32,"40,101",13.94,13.50,
60,SKC,"158,500","1,500",+0.96%,"5,000","60,021","37,868",13.63,"262,820",137.83,2.21,
61,코웨이,"79,900","1,200",+1.52%,500,"58,966","73,800",59.74,"219,886",13.84,31.51,
62,현대건설,"51,700",500,+0.98%,"5,000","57,571","111,356",21.58,"283,114",46.66,1.84,
63,미래에셋증권,"8,700",130,+1.52%,"5,000","55,273","635,316",13.49,"980,942",6.61,8.94,
64,금호석유,"180,000",500,+0.28%,"5,000","54,842","30,468",20.29,"192,793",4.26,20.18,
65,한국타이어앤테크놀로지,"44,000","1,650",-3.61%,500,"54,505","123,875",41.81,"385,592",8.83,5.12,
66,맥쿼리인프라,"13,000",50,+0.39%,0,"52,630","404,846",14.30,"806,608",N/A,N/A,
67,일진머티리얼즈,"111,000","2,500",+2.30%,500,"51,183","46,111",11.08,"480,115",107.56,7.23,
68,현대중공업지주,"64,700",400,+0.62%,"1,000","51,109","78,993",17.57,"125,138",-14.94,-8.12,
69,삼성엔지니어링,"25,850",450,+1.77%,"5,000","50,666","196,000",32.94,"2,187,161",16.05,17.32,
70,KODEX 200,"39,420",400,+1.03%,0,"48,270","122,450",3.11,"2,570,170",N/A,N/A,
71,한국금융지주,"86,200",700,+0.82%,"5,000","48,036","55,726",35.20,"170,183",4.10,16.27,
72,LG이노텍,"202,000","8,000",+4.12%,"5,000","47,808","23,667",26.60,"285,815",8.75,10.20,
73,에스디바이오센서,"46,250",550,+1.20%,500,"47,763","103,271",2.94,"350,565",7.01,139.97,
74,오리온,"119,000","1,000",-0.83%,500,"47,048","39,536",39.38,"48,543",19.52,15.50,
75,DB손해보험,"65,800",400,+0.61%,500,"46,586","70,800",42.79,"106,786",6.75,9.08,
76,이마트,"162,500","1,500",-0.91%,"5,000","45,298","27,876",34.32,"140,497",8.02,4.05,
77,한국가스공사,"48,900",700,+1.45%,"5,000","45,141","92,313",9.25,"766,752",17.91,-2.24,
78,메리츠금융지주,"32,850",0,0.00%,500,"44,023","134,011",8.34,"87,444",7.12,16.06,
79,유한양행,"62,300",800,+1.30%,"1,000","43,593","69,973",18.02,"200,655",45.31,11.06,
80,아모레G,"52,100","2,400",+4.83%,500,"42,961","82,458",16.70,"303,044",33.18,0.31,
81,삼성증권,"47,450",350,+0.74%,"5,000","42,373","89,300",30.10,"199,828",4.64,9.89,
82,GS,"45,400",600,+1.34%,"5,000","42,184","92,915",19.29,"187,680",5.16,-2.82,
83,한솔케미칼,"362,000","12,500",+3.58%,"5,000","41,033","11,335",41.50,"111,854",28.82,24.50,
84,한미사이언스,"60,000",200,-0.33%,500,"40,383","67,305",1.71,"71,368",132.16,3.47,
85,삼성카드,"34,700",350,+1.02%,"5,000","40,203","115,859",7.96,"88,352",8.77,5.69,
86,두산밥캣,"39,550",600,+1.54%,500,"39,649","100,249",25.84,"171,977",10.41,6.15,
87,한진칼,"59,400",100,+0.17%,"2,500","39,643","66,739",14.69,"84,136",-40.55,-19.55,
88,쌍용C&E,"7,770",90,+1.17%,100,"39,150","503,860",3.41,"524,494",25.06,7.92,
89,삼성중공업,"6,160",100,+1.65%,"1,000","38,808","630,000",13.99,"7,901,835",-2.70,-33.06,
90,SK케미칼,"320,500","6,500",+2.07%,"5,000","37,663","11,751",16.47,"240,699",40.72,30.49,
91,NH투자증권,"13,000",50,+0.39%,"5,000","36,583","281,409",18.74,"437,006",4.63,10.32,
92,호텔신라,"92,800",300,+0.32%,"5,000","36,422","39,248",17.51,"358,157",-28.22,-36.74,
93,현대차2우B,"99,700",600,+0.61%,"5,000","36,376","36,485",60.86,"105,646",7.22,N/A,
94,GS건설,"42,500",550,+1.31%,"5,000","36,372","85,581",25.99,"347,260",11.21,7.68,
95,팬오션,"6,680",70,+1.06%,"1,000","35,709","534,570",10.99,"5,786,228",20.49,3.25,
96,롯데지주,"33,600",700,+2.13%,200,"35,250","104,909",8.10,"123,339",48.00,-3.03,
97,메리츠화재,"29,050",50,+0.17%,500,"35,042","120,625",10.70,"187,429",6.63,16.91,
98,GS리테일,"33,200",800,+2.47%,"1,000","34,766","104,718",9.49,"282,001",18.22,7.50,
99,효성첨단소재,"770,000","9,000",-1.16%,"5,000","34,496","4,480",12.77,"97,370",23.46,0.03,
100,KCC,"386,000","1,500",-0.39%,"5,000","34,302","8,886",13.71,"29,813",4.02,12.79,
101,OCI,"143,500","2,500",-1.71%,"5,000","34,224","23,849",20.28,"402,771",118.20,-9.89,
102,CJ대한통운,"148,000",0,0.00%,"5,000","33,762","22,812",22.72,"47,489",96.99,3.89,
103,메리츠증권,"4,905",50,+1.03%,"1,000","33,439","681,731",14.27,"1,014,718",5.23,13.08,
104,두산퓨얼셀,"51,000","1,300",-2.49%,100,"33,402","65,494",13.79,"976,875",850.00,4.18,
105,신풍제약,"62,300",200,+0.32%,500,"33,010","52,985",8.64,"522,633","1,038.33",1.72,
106,한화시스템,"17,350",150,+0.87%,"5,000","32,778","188,919",2.60,"765,637",18.82,9.35,
107,한미약품,"270,500","1,000",+0.37%,"2,500","32,672","12,078",13.42,"22,232",141.47,1.65,
108,한국항공우주,"33,350",150,+0.45%,"5,000","32,508","97,475",13.36,"480,180",165.10,6.39,
109,에스원,"85,300",100,-0.12%,500,"32,413","37,999",53.94,"49,195",22.12,10.48,
110,녹십자,"275,000",500,-0.18%,"5,000","32,138","11,687",21.72,"84,086",34.38,7.48,
111,한화생명,"3,620",50,+1.40%,"5,000","31,441","868,530",8.23,"3,300,413",5.74,1.90,
112,씨에스윈드,"74,200","1,700",+2.34%,500,"31,291","42,171",10.82,"799,016",52.62,8.19,
113,현대오토에버,"112,500","1,000",-0.88%,500,"30,852","27,424",1.74,"62,122",40.58,11.09,
114,LG화학우,"399,500","4,000",+1.01%,"5,000","30,717","7,689",70.08,"33,775",10.76,N/A,
115,롯데쇼핑,"104,500","2,000",+1.95%,"5,000","29,562","28,289",10.39,"72,977",-5.11,-7.70,
116,만도,"62,800",300,-0.48%,"1,000","29,489","46,957",24.18,"458,610",12.44,0.37,
117,동서,"29,400",100,+0.34%,500,"29,312","99,700",3.13,"65,871",27.12,8.61,
118,BGF리테일,"168,000","6,500",-3.72%,"1,000","29,037","17,284",33.22,"56,085",20.69,18.60,
119,BNK금융지주,"8,840",230,+2.67%,"5,000","28,813","325,935",39.29,"2,376,003",4.26,6.11,
120,더존비즈온,"94,700",600,+0.64%,500,"28,772","30,383",41.68,"54,189",46.15,15.09,
121,CJ,"98,400",0,0.00%,"5,000","28,710","29,177",17.74,"71,519",67.26,1.89,
122,포스코인터내셔널,"23,100",150,-0.65%,"5,000","28,500","123,375",8.53,"803,813",9.67,7.69,
123,키움증권,"107,000",0,0.00%,"5,000","28,055","26,220",24.84,"41,284",2.88,27.63,
124,대우건설,"6,690",60,+0.90%,"5,000","27,805","415,623",11.78,"985,780",6.09,11.06,
125,제일기획,"24,000",950,+4.12%,200,"27,610","115,041",33.17,"817,124",14.77,16.11,
126,효성티앤씨,"620,000","2,000",-0.32%,"5,000","26,832","4,328",22.93,"30,701",5.30,25.10,
127,DL이앤씨,"137,500","3,000",+2.23%,"5,000","26,618","19,359",26.62,"75,682",N/A,N/A,
128,현대미포조선,"66,300","2,100",+3.27%,"5,000","26,482","39,942",11.39,"348,060",-14.57,-0.84,
129,한샘,"111,500","6,000",+5.69%,"1,000","26,240","23,534",19.12,"150,177",31.56,10.83,
130,신세계,"266,000","10,500",+4.11%,"5,000","26,188","9,845",26.97,"117,906",32.46,-2.81,
131,대우조선해양,"24,300",400,+1.67%,"5,000","26,072","107,291",6.64,"458,082",-1.79,2.27,
132,현대로템,"23,850",300,+1.27%,"5,000","26,030","109,142",3.76,"963,823",76.69,2.84,
133,일진하이솔루스,"71,300",900,-1.25%,500,"25,891","36,313",4.06,"199,803",133.02,34.27,
134,한화,"33,950",400,+1.19%,"5,000","25,448","74,959",18.18,"384,142",6.52,4.79,
135,한화에어로스페이스,"50,100",200,-0.40%,"5,000","25,366","50,630",18.42,"525,810",9.69,4.78,
136,코오롱인더,"93,900",500,-0.53%,"5,000","25,333","26,979",21.33,"366,289",18.81,9.70,
137,하이트진로,"35,900",650,+1.84%,"5,000","25,178","70,134",4.53,"571,287",35.94,8.23,
138,현대해상,"28,150",650,+2.36%,500,"25,166","89,400",27.46,"779,510",6.52,7.13,
139,솔루스첨단소재,"81,900",500,-0.61%,100,"25,053","30,590",8.13,"435,519",-213.28,-5.10,
140,휠라홀딩스,"40,500",300,+0.75%,"1,000","24,605","60,752",47.87,"378,294",10.21,10.94,
141,현대차우,"99,900",800,+0.81%,"5,000","24,332","24,357",58.94,"38,449",7.24,N/A,
142,DB하이텍,"53,500","2,500",+4.90%,"5,000","23,753","44,399",15.84,"995,398",14.22,23.07,
143,현대위아,"86,200","2,100",-2.38%,"5,000","23,442","27,195",7.16,"462,689",23.07,1.96,
144,롯데정밀화학,"89,700",0,0.00%,"5,000","23,143","25,800",21.28,"179,461",9.44,12.65,
145,TIGER 차이나전기차SOLACTIVE,"17,850",440,+2.53%,0,"22,977","128,720",2.89,"8,417,623",N/A,N/A,
146,효성,"108,000",0,0.00%,"5,000","22,757","21,071",9.44,"51,130",14.74,-2.26,
147,한전기술,"59,100","7,200",+13.87%,200,"22,588","38,220",2.86,"2,619,825",109.24,N/A,
148,TIGER 200,"39,460",415,+1.06%,0,"21,466","54,400",0.00,"430,561",N/A,N/A,
149,KODEX 단기채권,"102,965",5,0.00%,0,"21,277","20,664",0.00,"10,120",N/A,N/A,
150,LS,"65,300",400,+0.62%,"5,000","21,027","32,200",14.16,"88,376",8.47,3.94,
151,영원무역,"46,200",350,+0.76%,500,"20,472","44,311",27.33,"173,810",10.93,8.03,
152,대한전선,"2,390",65,+2.80%,500,"20,470","856,473",1.95,"12,024,683",-125.79,0.92,
153,후성,"21,650",550,-2.48%,500,"20,049","92,607",5.53,"4,213,343",200.46,2.79,
154,KODEX 200선물인버스2X,"2,245",50,-2.18%,0,"19,906","886,700",5.62,"187,196,187",N/A,N/A,
155,현대백화점,"84,100",700,+0.84%,"5,000","19,681","23,402",19.38,"87,015",15.19,1.65,
156,현대엘리베이,"48,150",700,+1.48%,"5,000","19,653","40,815",26.63,"175,683",20.39,9.78,
157,LS ELECTRIC,"64,900",500,+0.78%,"5,000","19,470","30,000",18.35,"68,701",21.22,6.15,
158,KODEX 레버리지,"23,535",485,+2.10%,0,"19,299","82,000",2.40,"19,143,272",N/A,N/A,
159,대웅,"32,850",50,+0.15%,500,"19,100","58,142",3.94,"99,829",20.32,15.10,
160,한전KPS,"41,550","1,150",+2.85%,200,"18,698","45,000",8.33,"842,141",19.14,8.23,
161,KODEX 단기채권PLUS,"103,275",5,0.00%,0,"18,504","17,917",0.00,"2,522,411",N/A,N/A,
162,오뚜기,"489,000","5,000",+1.03%,"5,000","17,956","3,672",12.49,"4,251",20.45,7.93,
163,농심,"292,000",0,0.00%,"5,000","17,761","6,083",12.90,"10,900",16.03,7.50,
164,아시아나항공,"23,750",100,+0.42%,"5,000","17,673","74,412",8.98,"1,194,484",-25.82,-43.83,
165,동국제강,"18,500",0,0.00%,"5,000","17,655","95,433",23.30,"501,232",6.02,3.35,
166,KODEX 삼성그룹,"9,840",180,+1.86%,0,"17,623","179,100",0.25,"414,906",N/A,N/A,
167,HDC현대산업개발,"26,400",100,+0.38%,"5,000","17,400","65,907",10.89,"250,969",9.43,8.85,
168,JB금융지주,"8,800",240,+2.80%,"5,000","17,334","196,983",40.53,"415,399",3.82,10.06,
169,한국앤컴퍼니,"17,800",300,+1.71%,500,"16,898","94,935",9.85,"224,609",6.81,5.08,
170,DGB금융지주,"9,960",240,+2.47%,"5,000","16,847","169,146",50.32,"488,557",3.95,6.93,
171,두산,"99,200","1,000",+1.02%,"5,000","16,392","16,524",10.91,"66,479",-162.36,-34.34,
172,금호타이어,"5,690",30,-0.52%,"5,000","16,345","287,260",4.24,"469,545",76.89,-6.74,
173,대웅제약,"141,000",0,0.00%,"2,500","16,337","11,587",7.28,"39,608",550.78,2.38,
174,PI첨단소재,"54,500",0,0.00%,500,"16,005","29,366",17.92,"77,476",29.32,15.62,
175,동원시스템즈,"62,100",200,-0.32%,"5,000","15,909","25,619",1.81,"82,412",29.52,10.97,
176,에스엘,"32,500","1,400",-4.13%,500,"15,666","48,203",16.73,"375,851",10.28,4.74,
177,프레스티지바이오파마,"25,900",450,-1.71%,0,"15,565","60,096",63.48,"217,759",-182.39,-1.78,
178,한미반도체,"31,400","2,200",+7.53%,200,"15,530","49,460",6.26,"889,978",20.93,21.03,
179,코스맥스,"136,000","4,000",+3.03%,500,"15,435","11,350",24.15,"107,366",31.51,6.23,
180,명신산업,"29,400",200,-0.68%,500,"15,426","52,470",2.30,"898,019",-12.75,-67.39,
181,롯데렌탈,"41,150","1,400",+3.52%,"5,000","15,075","36,634",1.13,"311,799",21.01,6.73,
182,솔루엠,"29,750",150,+0.51%,500,"14,877","50,006",8.69,"403,232",37.23,43.26,
183,롯데관광개발,"21,350",450,+2.15%,500,"14,790","69,276",6.81,"673,629",-9.46,-30.43,
184,F&F홀딩스,"37,600",700,+1.90%,500,"14,707","39,114",0.58,"136,076",0.28,16.59,
185,TIGER 단기통안채,"100,370",0,0.00%,0,"14,671","14,617",0.81,"30,457",N/A,N/A,
186,DL,"69,700",500,+0.72%,"5,000","14,606","20,956",13.92,"70,037",2.25,11.84,
187,롯데칠성,"157,000","2,000",+1.29%,500,"14,568","9,279",8.53,"33,393",63.95,-1.00,
188,코스모신소재,"48,250","1,500",+3.21%,"1,000","14,517","30,087",6.44,"2,085,764",76.47,7.16,
189,아이에스동서,"46,800",250,-0.53%,500,"14,458","30,893",4.55,"33,843",13.34,10.92,
190,KODEX 종합채권(AA-이상)액티브,"107,840",5,0.00%,0,"14,387","13,341",0.00,"23,285",N/A,N/A,
191,녹십자홀딩스,"30,550",500,+1.66%,500,"14,367","47,028",5.58,"497,970",9.42,19.74,
192,NHN,"72,300","1,600",+2.26%,500,"14,146","19,565",12.06,"78,010",64.55,1.35,
193,LG생활건강우,"670,000","7,000",+1.06%,"5,000","14,068","2,100",84.52,"3,700",14.07,N/A,
194,종근당,"120,500",500,+0.42%,"2,500","13,768","11,426",7.86,"26,864",16.18,17.88,
195,TIGER 미국나스닥100,"80,005","1,000",+1.27%,0,"13,761","17,200",0.01,"108,453",N/A,N/A,
196,대한유화,"210,500","3,500",+1.69%,"5,000","13,682","6,500",13.26,"47,320",5.89,6.93,
197,SK가스,"147,500",500,-0.34%,"5,000","13,615","9,230",7.05,"27,498",5.50,14.91,
198,롯데리츠,"5,560",10,-0.18%,500,"13,509","242,969",9.97,"341,445",70.38,1.68,
199,지누스,"85,000","3,700",+4.55%,500,"13,430","15,800",22.60,"333,511",35.51,11.61,
200,영풍,"722,000","10,000",+1.40%,"5,000","13,300","1,842",4.42,"2,711",8.67,4.03,
